0,1
Job ID: 1958531 | Afaq Q Tech General Trading," In final year of study for a MBA or Master degree, or graduated in the last six months
 3+ years of full-time industry work experience
 Fluent written and verbal communication in English. Strong project management skills Ability to think/act strategically and tactically.
 Consistent track record of taking ownership and driving results
 Comfortable with “hands-on” management of tasks, and proven ability to manage multiple, contending priorities simultaneously
 Data driven and excellent problem-solving skills"
Job ID: 1957954 | Amazon Deutschland Servcs GmbH," Currently enrolled in a Bachelor or Master Degree in Computer Science, Computer Engineering, or related fields at time of application
 Although no specific programming language is required  you should be familiar with the syntax of languages such as Java, C/C++ or Python
 Knowledge of Computer Science fundamentals such as object-oriented design, algorithm design, data structures, problem solving and complexity analysis. Previous technical internship(s) if applicable
 Experience with distributed, multi-tiered systems, algorithms, and relational databases
 Experience in optimization mathematics such as linear programming and nonlinear optimization
 Ability to effectively articulate technical challenges and solutions
 Adept at handling ambiguous or undefined problems as well as ability to think abstractly


  

We prioritize candidates who demonstrate relevant skills for this role. You may wish to attend one of our upskilling events at amazonstudentevents.splashthat.com.
EU Student Programs Team








  

"
Job ID: 1957947 | AWS EMEA SARL (UK Branch),"Currently enrolled in or will receive a Bachelor or Master Degree with a graduation date between September 2022 and September 2023. You love working with people and you love working with technology.
 You are a self-starter with hands-on mentality as well as independent and accurate work competencies.
 You have demonstrated your entrepreneurial spirit in extracurricular activities, for example, by contributing to open source projects or organizing student body activities.


 This selection process is subject to change but you will be notified if any changes are made.

"
Job ID: 1954223 | AWS EMEA SARL (UK Branch)," A degree in Computer Science / Engineering / Mathematics / Technology / Related Business field
 Interest and aptitude to learn about and deliver cloud-based solutions to customers and become a Technical Project Manager
 Experience assisting in the delivery of IT or technical projects
 Knowledge of Agile software development methodologies
 Written and verbal communication skills and ability to effectively articulate technical challenges and solutions to both large and small audiences.
 Fluent proficiency in English.. Masters degree in Computer Science / Engineering / Mathematics / Technology / Related Business field
 Demonstrated ability to adapt to new technologies and learn quickly.
 Experience of leading projects (during full-time education and/or on work experience)
 Experience with Agile/Iterative methodologies
 Experience with Agile and Project Management (APM) tool-sets (Jira, RallyDev, VersionOne, Taiga, etc.)
 Experience around implementing cloud-based technology solutions - in a school project or while working for a company.

  


  "
Job ID: 1952464 | Amazon.com Services LLC," Currently enrolled in a BA/BS degree program or a dual degree/submatriculation five year Master degree program that is being completed concurrently with your BA/BS degree at the same school.
 Graduating between December 2023 to August 2024
 Previous work, internship, and/or other leadership experience in a professional/academic environment in communication(s), public relations, and/or writing.. Highly effective oral, written, and interpersonal communication skills with demonstrated ability to effectively and comfortably interact with colleagues of diverse backgrounds and varying levels of seniority.
 Excellent written and verbal communication skills and ability to create and effectively deliver factual, relevant, and clear messaging, research, etc.
 Motivated self-starter who can work well autonomously.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

The pay for this position in Colorado is $4,158/month. Full time interns working longer than 90 days will be eligible for access to a medical benefit, and can enroll in a 401k on Day 1 if age 18. Interns will also have access to paid time off. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site.


Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us."
Job ID: 1949709 | AWS EMEA SARL (Netherlands)," Bachelor's or Associate's degree in Computer Science, Computer Engineering, or related science/technical fields, equivalent training, certifications, and/or experience.
 Experience with one of the following programming languages: Java, Python, Ruby, Node.js, C#, or C++
 Experience with two or more of the following Networking fundamentals, Security, Storage or Databases (Relational and/or NoSQL), Operating Systems (Unix, Linux, and/or Windows)
 Fluent proficiency in English. Good communication skills and ability to effectively articulate technical challenges and solutions to both large and small audiences
 Experience implementing a cloud-based technology solution in a school project or while working for a company
 Experience with one or more of the following domains: systems administration (Linux/Window), network administration (DNS, IPsec, BGP, VPN, Load Balancing), or programming (Node.JS, Java, Ruby, C#, Python, or PHP)
 Demonstrated ability to adapt to new technologies and learn quickly


  








  "
Job ID: 1949468 | Amazon Asia-Pacific Resources," Diploma Holders in Electrical & Electronics, Computer & Communications Engineering, Information & Digital Technologies with good grades
 Technical education (eg ITE) with relevant working experience

 Passionate about IT infrastructure and hardware
 Basic knowledge of System hardware and Network devices
 Have a basic understanding of IT Systems and/or Network concepts and
 Having troubleshooting experience is a plus
 Knowledge of programming language i.e. Python, Perl, Shell Scripting is a plus but not a must
 Good written & verbal communication and team player skills
 Basic knowledge of Data centers and Cloud computing technologies and services. Familiar with Linux operating system.

 Experience of server operation system level development, familiar with server hardware components and basic troubleshooting

 Experience of Networking setup and configuration.

 Experience in writing software programs


"
Job ID: 1948961 | Amazon.com Services LLC," Currently enrolled in a bachelor degree with a conferral date between June 2021 and June 2022.. Work experience is preferred (two to four years). Relevant experience in operations with exposure to sales, post sales, and business development in managing B2B Business accounts will be an added advantage.
 An understanding of and passion for e-commerce.
 Proven analytical skills and demonstrated ability to manage the business “by the numbers”.
 Excellent written/oral communication and presentation skills. Ability to express thoughts logically and succinctly. Demonstrated active listening skills, consultative, and solutions-oriented.


Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

The pay for this position in Colorado is $62,900/year, however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site.



Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us."
Job ID: 1945488 | AWS EMEA SARL (Germany Branch)," A degree in Computer Science / Engineering / Mathematics / Technology / Related science/technical field OR equivalent training, certifications
 Interest and aptitude to learn about and deliver cloud-based solutions to customers.
 Experience with one of the programming languages like Java, Python, Ruby, Node.js, C#, or C++ OR the interest and technical ability to learn a programming language.
 Written and verbal communication skills and ability to effectively articulate technical challenges and solutions to both large and small audiences.
 Fluent proficiency in English.. Demonstrated ability to adapt to new technologies and learn quickly.
 Experience with security fundamentals such as network and/or application security
 Experience with software development lifecycle (SDLC) and agile/iterative methodologies
 Fluent proficiency in German.
 Experience around implementing cloud-based technology solutions - in a university project or during internships.




  

"
Job ID: 1944876 | Amazon Asia-Pacific Resources," Penultimate year student pursuing a Bachelor degree in Human Resource, Economics, Social Sciences, Humanities, or a related field
 Graduating after December 2022
 Able to commit to a full-time internship from July to December 2022
 You have the right to work indefinitely in the country to which you are applying.
 You have excellent written and verbal communication skills.
 You are results-driven with analytical capability and the ability to innovate and simplify current process and practices.
 You should have strong decision making skills and use sound reasoning to communicate.
 The personal drive and enthusiasm that makes you stand out from the crowd!. Evidence of leadership skills, working effectively with a team  perhaps you are president of a sporting or social club at university or took the lead in charity work or a group project.
 Ability to work successfully in a fast-paced environment, to meet tight deadlines and prioritize workload even when faced with conflicting priorities.
 Previous work experience  a summer job or internship; if it in a people- or customer-facing environment, a strong plus."
