JOB_ID,Skills
Job ID: 1958531 , in final   of study for a mba or master degree or graduated in the last six months  3  s of fulltime industry work experience  fluent written and verbal communication in english strong project management  s ability to thinkact strategically and tactically  consistent track record of taking ownership and driving results  comfortable with handson management of tasks and proven ability to manage multiple contending priorities simultaneously  data driven and excellent problemsolving  s
Job ID: 1957954 , currently enrolled in a bachelor or master degree in computer science computer engineering or related fields at time of application  although no specific programming language is required  you should be familiar with the syntax of languages such as java cc or python  knowledge of computer science fundamentals such as objectoriented design algorithm design data structures problem solving and complexity analysis previous technical internships if applicable  experience with distributed multitiered systems algorithms and relational databases  experience in optimization mathematics such as linear programming and nonlinear optimization  ability to effectively articulate technical challenges and solutions  adept at handling ambiguous or undefined problems as well as ability to think abstractly       we prioritize candi s who demonstrate relevant  s for this role you may wish to attend one of our up ing events at amazonstudenteventssplashthatcom eu student programs team             
Job ID: 1957947 ,currently enrolled in or will receive a bachelor or master degree with a graduation   between september 2022 and september 2023 you love working with people and you love working with technology  you are a selfstarter with handson mentality as well as independent and accurate work    you have demonstrated your entrepreneurial spirit in extracurricular activities for example by contributing to open source projects or organizing student body activities    this selection process is subject to change but you will be notified if any changes are made  
Job ID: 1954223 , a degree in computer science  engineering  mathematics  technology  related business field  interest and aptitude to learn about and deliver cloudbased solutions to customers and   a technical project manager  experience assisting in the delivery of it or technical projects  knowledge of agile software development methodologies  written and verbal communication  s and ability to effectively articulate technical challenges and solutions to both large and small audiences  fluent   in english masters degree in computer science  engineering  mathematics  technology  related business field  demonstrated ability to adapt to new technologies and learn quickly  experience of leading projects during fulltime   andor on work experience  experience with agileiterative methodologies  experience with agile and project management apm tool s jira rallydev versionone taiga etc  experience around implementing cloudbased technology solutions  in a school project or while working for a company         
Job ID: 1952464 , currently enrolled in a babs degree program or a dual degreesubmatriculation five   master degree program that is being completed concurrently with your babs degree at the same school  graduating between december 2023 to august 2024  previous work internship andor other leadership experience in a professionalacademic environment in communications public relations andor writing highly effective oral written and interpersonal communication  s with demonstrated ability to effectively and comfortably interact with colleagues of diverse backgrounds and varying levels of seniority  excellent written and verbal communication  s and ability to create and effectively deliver factual relevant and clear messaging research etc  motivated selfstarter who can work well autonomously  pursuant to the san francisco fair chance ordinance we will   for employment qualified applicants with arrest and conviction records  pursuant to the los angeles fair chance ordinance we will   for employment qualified applicants with arrest and conviction records  the pay for this position in colorado is 4158month full time interns working longer than 90 days will be eligible for access to a medical benefit and can enroll in a 401k on day 1 if age 18 interns will also have access to paid time off this   is provided per the colorado equal pay act base pay   is based on market location applicants should apply via amazons internal or external careers site   amazon is an equal opportunity employer and does not discriminate on the basis of race national origin gender gender identity sexual orientation  ed veteran status disability age or other legally  ed status for individuals with disabilities who would like to request an accommodation please visit   amazonjobsendisabilityus
Job ID: 1949709 , bachelors or associates degree in computer science computer engineering or related sciencetechnical fields equivalent training certifications andor experience  experience with one of the following programming languages java python ruby nodejs c or c  experience with two or more of the following networking fundamentals security storage or databases relational andor nosql operating systems unix linux andor windows  fluent   in english good communication  s and ability to effectively articulate technical challenges and solutions to both large and small audiences  experience implementing a cloudbased technology solution in a school project or while working for a company  experience with one or more of the following domains systems administration linuxwindow network administration dns ipsec bgp vpn load balancing or programming nodejs java ruby c python or php  demonstrated ability to adapt to new technologies and learn quickly                
Job ID: 1949468 , diploma holders in electrical  electronics computer  communications engineering    digital technologies with good grades  technical   eg ite with relevant working experience   passionate about it infrastructure and hardware  basic knowledge of system hardware and network devices  have a basic understanding of it systems andor network concepts and  having troubleshooting experience is a plus  knowledge of programming language ie python perl shell scripting is a plus but not a    good written  verbal communication and team player  s  basic knowledge of data centers and cloud computing technologies and services familiar with linux operating system   experience of server operation system level development familiar with server hardware components and basic troubleshooting   experience of networking  up and configuration   experience in writing software programs   
Job ID: 1948961 , currently enrolled in a bachelor degree with a conferral   between june 2021 and june 2022 work experience is preferred two to four  s relevant experience in operations with exposure to sales post sales and business development in managing b2b business accounts will be an added advantage  an understanding of and passion for ecommerce  proven analytical  s and demonstrated ability to manage the business by the numbers  excellent writtenoral communication and presentation  s ability to express thoughts logically and succinctly demonstrated active listening  s consultative and solutionsoriented   pursuant to the san francisco fair chance ordinance we will   for employment qualified applicants with arrest and conviction records  pursuant to the los angeles fair chance ordinance we will   for employment qualified applicants with arrest and conviction records  the pay for this position in colorado is 62900  however base pay offered may vary depending on jobrelated knowledge  s and experience a signon bonus and restricted stock units may be provided as part of the compensation package in addition to a full range of medical financial andor other benefits dependent on the position offered this   is provided per the colorado equal pay act base pay   is based on market location applicants should apply via amazons internal or external careers site    amazon is an equal opportunity employer and does not discriminate on the basis of race national origin gender gender identity sexual orientation  ed veteran status disability age or other legally  ed status for individuals with disabilities who would like to request an accommodation please visit   amazonjobsendisabilityus
Job ID: 1945488 , a degree in computer science  engineering  mathematics  technology  related sciencetechnical field or equivalent training certifications  interest and aptitude to learn about and deliver cloudbased solutions to customers  experience with one of the programming languages like java python ruby nodejs c or c or the interest and technical ability to learn a programming language  written and verbal communication  s and ability to effectively articulate technical challenges and solutions to both large and small audiences  fluent   in english demonstrated ability to adapt to new technologies and learn quickly  experience with security fundamentals such as network andor application security  experience with software development lifecycle sdlc and agileiterative methodologies  fluent   in german  experience around implementing cloudbased technology solutions  in a university project or during internships         
Job ID: 1944876 , penultimate   student pursuing a bachelor degree in human resource economics social sciences humanities or a related field  graduating after december 2022  able to commit to a fulltime internship from july to december 2022  you have the right to work indefinitely in the country to which you are applying  you have excellent written and verbal communication  s  you are resultsdriven with analytical capability and the ability to innovate and simplify current process and practices  you should have strong decision making  s and use sound reasoning to communicate  the personal drive and enthusiasm that makes you stand out from the crowd evidence of leadership  s working effectively with a team  perhaps you are president of a sporting or social club at university or took the lead in charity work or a group project  ability to work successfully in a fastpaced environment to meet tight deadlines and prioritize workload even when faced with conflicting priorities  previous work experience  a summer job or internship if it in a people or customerfacing environment a strong plus
